Serial_number:
2141634
Project ID:

Location:


UNIT: m

UNIT: m
Date,Time,ms,,
11/4/2021,09:30:37 am,375,99.755,18.413
11/4/2021,09:30:37 am,500,99.728,18.996
11/4/2021,09:30:37 am,625,99.713,19.860
11/4/2021,09:30:37 am,750,99.681,21.427
11/4/2021,09:30:37 am,875,99.661,22.352
11/4/2021,09:30:38 am,0,99.661,22.674
11/4/2021,09:30:38 am,125,99.631,22.683
11/4/2021,09:30:38 am,250,99.600,22.416
11/4/2021,09:30:38 am,375,99.583,22.114
11/4/2021,09:30:38 am,500,99.564,22.008
11/4/2021,09:30:38 am,625,99.543,21.675
11/4/2021,09:30:38 am,750,99.525,21.098
11/4/2021,09:30:38 am,875,99.533,20.133
11/4/2021,09:30:39 am,0,99.528,19.010
11/4/2021,09:30:39 am,125,99.502,18.333
11/4/2021,09:30:39 am,250,99.487,17.528
11/4/2021,09:30:39 am,375,99.502,16.842
11/4/2021,09:30:39 am,500,99.505,15.934
11/4/2021,09:30:39 am,625,99.515,14.877
11/4/2021,09:30:39 am,750,99.521,13.857
11/4/2021,09:30:39 am,875,99.526,12.865
11/4/2021,09:30:40 am,0,99.536,11.826
11/4/2021,09:30:40 am,125,99.538,11.007
11/4/2021,09:30:40 am,250,99.545,10.324
11/4/2021,09:30:40 am,375,99.540,9.807
11/4/2021,09:30:40 am,500,99.555,9.330
11/4/2021,09:30:40 am,625,99.555,8.865
11/4/2021,09:30:40 am,750,99.561,8.471
11/4/2021,09:30:40 am,875,99.559,8.092
11/4/2021,09:30:41 am,0,99.559,7.826
11/4/2021,09:30:41 am,125,99.557,7.709
11/4/2021,09:30:41 am,250,99.564,7.614
11/4/2021,09:30:41 am,375,99.562,7.500
11/4/2021,09:30:41 am,500,99.556,7.404
11/4/2021,09:30:41 am,625,99.535,7.403
11/4/2021,09:30:41 am,750,99.534,7.285
11/4/2021,09:30:41 am,875,99.544,7.031
11/4/2021,09:30:42 am,0,99.549,6.767
11/4/2021,09:30:42 am,125,99.525,6.517
11/4/2021,09:30:42 am,250,99.519,6.361
11/4/2021,09:30:42 am,375,99.528,6.372
11/4/2021,09:30:42 am,500,99.535,7.035
11/4/2021,09:30:42 am,625,99.534,7.541
11/4/2021,09:30:42 am,750,99.521,7.692
11/4/2021,09:30:42 am,875,99.502,7.548
11/4/2021,09:30:43 am,0,99.492,7.660
11/4/2021,09:30:43 am,125,99.496,7.917
11/4/2021,09:30:43 am,250,99.507,8.158
11/4/2021,09:30:43 am,375,99.502,8.190
11/4/2021,09:30:43 am,500,99.508,7.952
11/4/2021,09:30:43 am,625,99.517,7.815
11/4/2021,09:30:43 am,750,99.522,7.700
11/4/2021,09:30:43 am,875,99.518,7.413
11/4/2021,09:30:44 am,0,99.516,7.249
11/4/2021,09:30:44 am,125,99.507,6.972
11/4/2021,09:30:44 am,250,99.515,6.761
11/4/2021,09:30:44 am,375,99.515,6.778
11/4/2021,09:30:44 am,500,99.529,6.703
11/4/2021,09:30:44 am,625,99.534,6.480
11/4/2021,09:30:44 am,750,99.541,6.332
11/4/2021,09:30:44 am,875,99.551,6.246
11/4/2021,09:30:45 am,0,99.544,6.223
11/4/2021,09:30:45 am,125,99.556,6.227
11/4/2021,09:30:45 am,250,99.546,6.274
11/4/2021,09:30:45 am,375,99.536,6.422
11/4/2021,09:30:45 am,500,99.537,6.316
11/4/2021,09:30:45 am,625,99.518,6.048
11/4/2021,09:30:45 am,750,99.532,6.028
11/4/2021,09:30:45 am,875,99.528,5.957
11/4/2021,09:30:46 am,0,99.553,5.884
11/4/2021,09:30:46 am,125,99.540,5.861
11/4/2021,09:30:46 am,250,99.542,5.982
11/4/2021,09:30:46 am,375,99.537,6.070
11/4/2021,09:30:46 am,500,99.547,6.189
11/4/2021,09:30:46 am,625,99.551,6.228
11/4/2021,09:30:46 am,750,99.553,6.273
11/4/2021,09:30:46 am,875,99.559,6.353
11/4/2021,09:30:47 am,0,99.573,6.392
11/4/2021,09:30:47 am,125,99.581,6.452
11/4/2021,09:30:47 am,250,99.591,6.550
11/4/2021,09:30:47 am,375,99.609,6.719
11/4/2021,09:30:47 am,500,99.628,6.966
11/4/2021,09:30:47 am,625,99.653,7.380
11/4/2021,09:30:47 am,750,99.666,7.826
11/4/2021,09:30:47 am,875,99.672,8.312
11/4/2021,09:30:48 am,0,99.663,8.850
11/4/2021,09:30:48 am,125,99.662,9.406
11/4/2021,09:30:48 am,250,99.660,10.082
11/4/2021,09:30:48 am,375,99.650,10.775
11/4/2021,09:30:48 am,500,99.650,11.537
11/4/2021,09:30:48 am,625,99.637,12.796
11/4/2021,09:30:48 am,750,99.636,14.526
11/4/2021,09:30:48 am,875,99.628,15.788
11/4/2021,09:30:49 am,0,99.618,16.801
11/4/2021,09:30:49 am,125,99.604,17.943
11/4/2021,09:30:49 am,250,99.593,19.098
11/4/2021,09:30:49 am,375,99.561,20.967
11/4/2021,09:30:49 am,500,99.555,21.351
11/4/2021,09:30:49 am,625,99.519,20.797
11/4/2021,09:30:49 am,750,99.510,21.780
11/4/2021,09:30:49 am,875,99.488,21.754
11/4/2021,09:30:50 am,0,99.481,21.889
11/4/2021,09:30:50 am,125,99.477,22.742
11/4/2021,09:30:50 am,250,99.455,23.771
11/4/2021,09:30:50 am,375,99.443,23.060
11/4/2021,09:30:50 am,500,99.421,22.501
11/4/2021,09:30:50 am,625,99.412,22.144
11/4/2021,09:30:50 am,750,99.395,21.710
11/4/2021,09:30:50 am,875,99.389,20.641
11/4/2021,09:30:51 am,0,99.398,20.013
11/4/2021,09:30:51 am,125,99.401,19.025
11/4/2021,09:30:51 am,250,99.380,18.896
11/4/2021,09:30:51 am,375,99.389,18.477
11/4/2021,09:30:51 am,500,99.393,17.379
11/4/2021,09:30:51 am,625,99.386,16.428
11/4/2021,09:30:51 am,750,99.381,15.552
11/4/2021,09:30:51 am,875,99.384,14.339
11/4/2021,09:30:52 am,0,99.395,13.230
11/4/2021,09:30:52 am,125,99.420,12.348
11/4/2021,09:30:52 am,250,99.439,11.580
11/4/2021,09:30:52 am,375,99.445,10.927
11/4/2021,09:30:52 am,500,99.462,10.390
11/4/2021,09:30:52 am,625,99.474,9.938
11/4/2021,09:30:52 am,750,99.471,9.588
11/4/2021,09:30:52 am,875,99.482,9.285
11/4/2021,09:30:53 am,0,99.479,9.093
11/4/2021,09:30:53 am,125,99.474,9.107
11/4/2021,09:30:53 am,250,99.462,9.237
11/4/2021,09:30:53 am,375,99.446,9.525
11/4/2021,09:30:53 am,500,99.436,10.508
11/4/2021,09:30:53 am,625,99.433,10.745
11/4/2021,09:30:53 am,750,99.440,10.918
11/4/2021,09:30:53 am,875,99.460,11.071
11/4/2021,09:30:54 am,0,99.485,11.086
11/4/2021,09:30:54 am,125,99.496,10.727
11/4/2021,09:30:54 am,250,99.513,10.477
11/4/2021,09:30:54 am,375,99.506,10.323
11/4/2021,09:30:54 am,500,99.507,9.632
11/4/2021,09:30:54 am,625,99.515,9.185
11/4/2021,09:30:54 am,750,99.522,8.782
11/4/2021,09:30:54 am,875,99.529,8.533
11/4/2021,09:30:55 am,0,99.530,8.483
11/4/2021,09:30:55 am,125,99.548,8.195
11/4/2021,09:30:55 am,250,99.547,7.915
11/4/2021,09:30:55 am,375,99.544,7.574
11/4/2021,09:30:55 am,500,99.542,7.302
11/4/2021,09:30:55 am,625,99.538,7.134
11/4/2021,09:30:55 am,750,99.528,6.990
11/4/2021,09:30:55 am,875,99.520,6.760
11/4/2021,09:30:56 am,0,99.512,6.721
11/4/2021,09:30:56 am,125,99.509,6.898
11/4/2021,09:30:56 am,250,99.517,6.745
11/4/2021,09:30:56 am,375,99.525,6.454
11/4/2021,09:30:56 am,500,99.518,6.325
11/4/2021,09:30:56 am,625,99.523,6.122
11/4/2021,09:30:56 am,750,99.514,5.944
11/4/2021,09:30:56 am,875,99.531,5.748
11/4/2021,09:30:57 am,0,99.519,5.592
11/4/2021,09:30:57 am,125,99.496,5.586
11/4/2021,09:30:57 am,250,99.489,5.679
11/4/2021,09:30:57 am,375,99.495,5.856
11/4/2021,09:30:57 am,500,99.502,6.101
11/4/2021,09:30:57 am,625,99.493,6.156
11/4/2021,09:30:57 am,750,99.491,6.144
11/4/2021,09:30:57 am,875,99.502,6.253
11/4/2021,09:30:58 am,0,99.491,6.522
11/4/2021,09:30:58 am,125,99.485,6.814
11/4/2021,09:30:58 am,250,99.477,6.814
11/4/2021,09:30:58 am,375,99.478,6.736
11/4/2021,09:30:58 am,500,99.472,6.646
11/4/2021,09:30:58 am,625,99.469,6.460
11/4/2021,09:30:58 am,750,99.483,6.334
11/4/2021,09:30:58 am,875,99.483,6.210
11/4/2021,09:30:59 am,0,99.488,6.084
11/4/2021,09:30:59 am,125,99.508,5.951
11/4/2021,09:30:59 am,250,99.518,5.982
11/4/2021,09:30:59 am,375,99.533,6.105
11/4/2021,09:30:59 am,500,99.539,6.351
11/4/2021,09:30:59 am,625,99.552,6.833
11/4/2021,09:30:59 am,750,99.575,7.538
11/4/2021,09:30:59 am,875,99.576,8.378
11/4/2021,09:31:00 am,0,99.560,9.202
11/4/2021,09:31:00 am,125,99.547,9.965
11/4/2021,09:31:00 am,250,99.524,10.683
11/4/2021,09:31:00 am,375,99.508,11.332
11/4/2021,09:31:00 am,500,99.499,11.878
11/4/2021,09:31:00 am,625,99.500,12.372
11/4/2021,09:31:00 am,750,99.500,13.053
11/4/2021,09:31:00 am,875,99.481,13.793
11/4/2021,09:31:01 am,0,99.455,14.226
11/4/2021,09:31:01 am,125,99.439,14.415
11/4/2021,09:31:01 am,250,99.397,14.540
11/4/2021,09:31:01 am,375,99.391,14.654
11/4/2021,09:31:01 am,500,99.348,14.809
11/4/2021,09:31:01 am,625,99.315,14.958
11/4/2021,09:31:01 am,750,99.284,14.948
11/4/2021,09:31:01 am,875,99.268,14.884
11/4/2021,09:31:02 am,0,99.261,14.703
11/4/2021,09:31:02 am,125,99.268,14.625
11/4/2021,09:31:02 am,250,99.251,14.703
11/4/2021,09:31:02 am,375,99.287,14.756
11/4/2021,09:31:02 am,500,99.286,14.776
11/4/2021,09:31:02 am,625,99.299,14.505
11/4/2021,09:31:02 am,750,99.322,14.286
11/4/2021,09:31:02 am,875,99.351,14.207
11/4/2021,09:31:03 am,0,99.365,13.961
11/4/2021,09:31:03 am,125,99.356,13.749
11/4/2021,09:31:03 am,250,99.355,13.844
11/4/2021,09:31:03 am,375,99.362,13.798
11/4/2021,09:31:03 am,500,99.391,13.644
11/4/2021,09:31:03 am,625,99.395,13.359
11/4/2021,09:31:03 am,750,99.401,13.105
11/4/2021,09:31:03 am,875,99.405,12.699
11/4/2021,09:31:04 am,0,99.401,12.157
11/4/2021,09:31:04 am,125,99.405,11.340
11/4/2021,09:31:04 am,250,99.421,10.556
11/4/2021,09:31:04 am,375,99.420,9.948
11/4/2021,09:31:04 am,500,99.446,9.643
11/4/2021,09:31:04 am,625,99.446,9.630
11/4/2021,09:31:04 am,750,99.443,9.742
11/4/2021,09:31:04 am,875,99.439,9.763
11/4/2021,09:31:05 am,0,99.434,9.446
11/4/2021,09:31:05 am,125,99.431,9.101
11/4/2021,09:31:05 am,250,99.436,8.797
11/4/2021,09:31:05 am,375,99.460,8.474
11/4/2021,09:31:05 am,500,99.473,8.124
11/4/2021,09:31:05 am,625,99.471,7.800
11/4/2021,09:31:05 am,750,99.478,7.554
11/4/2021,09:31:05 am,875,99.477,7.317
11/4/2021,09:31:06 am,0,99.480,7.220
11/4/2021,09:31:06 am,125,99.470,7.198
11/4/2021,09:31:06 am,250,99.492,7.309
11/4/2021,09:31:06 am,375,99.501,7.481
11/4/2021,09:31:06 am,500,99.529,7.429
11/4/2021,09:31:06 am,625,99.535,7.353
11/4/2021,09:31:06 am,750,99.516,7.256
11/4/2021,09:31:06 am,875,99.524,7.116
11/4/2021,09:31:07 am,0,99.550,7.180
