Datetime,ms,Pressure(kPa),Temp(C)
2023-02-22 10:29:57,0,97.8223,5.818
2023-02-22 10:34:57,0,97.8019,5.806
2023-02-22 10:39:57,0,97.7915,5.798
2023-02-22 10:44:57,0,97.8074,5.779
2023-02-22 10:49:57,0,97.8032,5.762
2023-02-22 10:54:57,0,97.8108,5.753
2023-02-22 10:59:57,0,97.7982,5.746
2023-02-22 11:04:57,0,97.7798,5.737
2023-02-22 11:09:57,0,97.7747,5.715
2023-02-22 11:14:57,0,97.7603,5.679
2023-02-22 11:19:57,0,97.7617,5.652
2023-02-22 11:24:57,0,97.7509,5.621
2023-02-22 11:29:57,0,97.7606,5.59
2023-02-22 11:34:57,0,97.7571,5.558
2023-02-22 11:39:57,0,97.7355,5.524
2023-02-22 11:44:57,0,97.7953,5.496
2023-02-22 11:49:57,0,97.8145,5.479
2023-02-22 11:54:57,0,97.81,5.477
2023-02-22 11:59:57,0,97.7673,5.476
2023-02-22 12:04:57,0,97.7559,5.491
2023-02-22 12:09:57,0,97.7392,5.518
2023-02-22 12:14:57,0,97.7027,5.546
2023-02-22 12:19:57,0,97.7042,5.57
2023-02-22 12:24:57,0,97.7115,5.572
2023-02-22 12:29:57,0,97.7145,5.558
2023-02-22 12:34:57,0,97.7117,5.547
2023-02-22 12:39:57,0,97.705,5.54
2023-02-22 12:44:57,0,97.7164,5.534
2023-02-22 12:49:57,0,97.6415,5.529
2023-02-22 12:54:57,0,97.6578,5.528
2023-02-22 12:59:57,0,97.6345,5.53
2023-02-22 13:04:57,0,97.6186,5.544
2023-02-22 13:09:57,0,97.598,5.545
2023-02-22 13:14:57,0,97.5985,5.538
2023-02-22 13:19:57,0,97.5933,5.543
2023-02-22 13:24:57,0,97.5759,5.54
2023-02-22 13:29:57,0,97.5417,5.547
2023-02-22 13:34:57,0,97.5079,5.563
2023-02-22 13:39:57,0,97.4853,5.588
2023-02-22 13:44:57,0,97.4746,5.613
2023-02-22 13:49:57,0,97.4647,5.641
2023-02-22 13:54:57,0,97.4427,5.606
2023-02-22 13:59:57,0,97.4269,5.52
2023-02-22 14:04:57,0,97.3983,5.442
2023-02-22 14:09:57,0,97.3982,5.336
2023-02-22 14:14:57,0,97.4057,5.223
2023-02-22 14:19:57,0,97.4166,5.126
2023-02-22 14:24:57,0,97.3808,5.058
2023-02-22 14:29:57,0,97.3856,5.021
2023-02-22 14:34:57,0,97.3799,4.991
2023-02-22 14:39:57,0,97.3698,4.986
2023-02-22 14:44:57,0,97.3749,4.987
2023-02-22 14:49:57,0,97.359,4.987
2023-02-22 14:54:57,0,97.366,5.016
2023-02-22 14:59:57,0,97.3509,5.048
2023-02-22 15:04:57,0,97.3463,5.09
2023-02-22 15:09:57,0,97.3389,5.112
2023-02-22 15:14:57,0,97.3538,5.139
2023-02-22 15:19:57,0,97.3556,5.153
2023-02-22 15:24:57,0,97.3429,5.16
2023-02-22 15:29:57,0,97.3317,5.17
2023-02-22 15:34:57,0,97.3436,5.203
2023-02-22 15:39:57,0,97.4391,5.23
2023-02-22 15:44:57,0,97.3556,5.179
2023-02-22 15:49:57,0,97.4018,5.055
2023-02-22 15:54:57,0,97.3678,4.978
2023-02-22 15:59:57,0,97.4377,4.904
2023-02-22 16:04:57,0,97.4106,4.795
2023-02-22 16:09:57,0,97.4269,4.682
2023-02-22 16:14:57,0,97.4325,4.574
2023-02-22 16:19:57,0,97.4267,4.465
2023-02-22 16:24:57,0,97.4296,4.369
2023-02-22 16:29:57,0,97.3726,4.268
2023-02-22 16:34:57,0,97.3455,4.2
